mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__min_child_weight,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
20.05198820432027,0.8539770311715076,0.5327165921529134,0.019472604014798247,0.9,1,0.01,500,3,3,0.02,0.1,1.0,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 1, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.02, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 1.0}",0.7399038251542538,0.7547046482214039,0.7447272522667696,0.7464452418808092,0.006163316591020973,3,0.8308713099695328,0.8238623627055984,0.829217676121937,0.8279837829323561,0.0029914550238553388
22.628716945648193,0.19370486080686566,0.5425378481547037,0.007409642889211787,0.9,2,0.01,500,1,4,0.1,0.5,1.0,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 1, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.5, 'classifier__colsample_bytree': 1.0}",0.7098894822501219,0.7287065321222181,0.7125455517328443,0.7170471887017281,0.008315403097944407,15,0.9864742183422026,0.9861919363343904,0.9868673525876099,0.9865111690880677,0.0002769726785482249
12.681876500447592,0.32134449488166894,0.48758641878763836,0.04219890105932014,0.9,5,0.0,300,3,3,0.05,0.3,0.9,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 5, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.9}",0.7408044702763371,0.7562634479562904,0.7438225980278514,0.7469635054201597,0.00669048937734831,2,0.850104262584436,0.8440956545040339,0.8482529288770471,0.8474842819885057,0.0025124962746793994
23.15412958463033,0.7981602760426242,0.6940980752309164,0.0582895260292598,0.9,5,0.0,500,3,4,0.05,0.1,0.8,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 5, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 3, 'classifier__max_depth': 4, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.8}",0.7308769586776231,0.7453701879342991,0.7318523403907286,0.736033162334217,0.006614271321116053,8,0.9448728833300641,0.9424551397878307,0.9453541168550251,0.9442273799909734,0.0012684696631802357
15.53161334991455,1.0906729618260844,0.6509421666463217,0.11742059273826816,1.0,2,0.01,300,1,5,0.1,0.3,0.8,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 1, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.8}",0.7130794846619708,0.7261325481847514,0.7091187034325938,0.7161102454264386,0.0072689688136722014,17,0.9830694596239542,0.9867171811741565,0.9873131944747772,0.9856999450909626,0.0018758817140633883
22.376751979192097,0.6441872330529825,0.6281964778900146,0.06393473894456214,0.7,2,0.5,300,3,6,0.08,0.5,0.8,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.5, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.08, 'classifier__gamma': 0.5, 'classifier__colsample_bytree': 0.8}",0.7113469178661025,0.7258983662098081,0.7128182775055664,0.7166878538604924,0.006540457583372103,16,0.9967232140711015,0.997126703002531,0.9973384797186303,0.9970627989307542,0.00025521331215212664
20.62022042274475,0.8885472796510526,0.6225057442982992,0.058641739510836455,1.0,1,0.1,300,1,6,0.08,0.3,0.9,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 1, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 1, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.08, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.9}",0.7100230122662454,0.7128467270071995,0.7063211720786262,0.7097303037840238,0.0026720747835256254,18,0.9926316754687217,0.9951301791144254,0.9953094466136314,0.9943571003989261,0.0012222527292929922
15.990703503290812,0.5089740497786203,0.6331315835316976,0.06359963616860576,1.0,2,0.1,300,7,5,0.08,0.5,0.9,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 7, 'classifier__max_depth': 5, 'classifier__learning_rate': 0.08, 'classifier__gamma': 0.5, 'classifier__colsample_bytree': 0.9}",0.7196215059052314,0.7312129795448632,0.7182504763352968,0.7230283205951306,0.005814431019053002,12,0.9681241963679763,0.9743595499749693,0.9742193597870736,0.9722343687100065,0.0029068941997817915
19.100289742151897,0.3989684801171403,0.49240509668986004,0.017909361916086077,1.0,2,0.01,400,5,6,0.1,0.0,0.7,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 400, 'classifier__min_child_weight': 5, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.7}",0.7036049068779472,0.7113034761008571,0.6939219129430844,0.7029434319739628,0.007111392092427537,19,0.9987697994306584,0.9992467039402563,0.9991013133181531,0.9990392722296892,0.0001995767192702987
12.980469624201456,0.2948225100890597,0.4267584482828776,0.024554930651906077,0.9,1,0.0,400,1,3,0.08,0.3,0.7,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 1, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 400, 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.08, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.7}",0.731823419431905,0.7485698638539825,0.7319001786873148,0.7374311539910674,0.007876319616566851,6,0.9032876320864656,0.8998726058702194,0.8991853719469697,0.900781869967885,0.0017939166577634394
