MODEL,PRECISION,RECALL,F1_SCORE,BALANCED_ACCURACY
Logistic Regression,0.1634756995581738,0.6894409937888198,0.2642857142857143,0.6902887405050679
Selected XGBoost,0.16874809625342674,0.6881987577639752,0.2710371819960861,0.6957035115627923
